# P,y,maxDepth,widths
#! 0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,0.975,0.99
32.5,50,4.03721,0.179599,0.186506,0.188705,0.1892,0.187362,0.183898,0.177766,0.175736,0.178954,0.185485,0.191876,0.196445,0.175992,0.11466
10,56,2.02005,0.178094,0.18064,0.18119,0.180094,0.179021,0.178227,0.178159,0.178005,0.179147,0.180451,0.182519,0.171368,0.121397,0.0865697
32.5,44,4.10863,0.181298,0.191383,0.196938,0.205222,0.211285,0.214952,0.213953,0.21061,0.211258,0.221913,0.233823,0.239928,0.187771,0.121062
17.5,56,2.65584,0.177645,0.179643,0.178342,0.171989,0.164387,0.156305,0.14986,0.143626,0.139583,0.137465,0.137358,0.137804,0.114107,0.0725997
25,50,3.58901,0.180023,0.187903,0.192407,0.198433,0.203381,0.207213,0.208896,0.209195,0.212954,0.221613,0.231376,0.232221,0.177797,0.109095
40,62,0.334144,0.17745,0.178495,0.1778,0.176701,0.175175,0.174093,0.171684,0.169097,0.16689,0.151219,0.105668,0.0976481,0.085693,0.0834422
32.5,56,2.26393,0.177336,0.177832,0.174789,0.164077,0.149908,0.134935,0.118066,0.10177,0.0836111,0.0665723,0.0632449,0.0624961,0.0551339,0.0329153
25,62,0.844654,0.177238,0.17766,0.176986,0.174764,0.170737,0.165627,0.159309,0.153948,0.148449,0.143353,0.12669,0.0890857,0.068661,0.0635093
40,56,1.14615,0.177301,0.177705,0.176564,0.172023,0.165074,0.1585,0.149635,0.141428,0.130598,0.120863,0.105045,0.0754693,0.0593972,0.0486003
40,44,4.39436,0.180837,0.188596,0.191464,0.192853,0.191578,0.186285,0.17903,0.175706,0.17718,0.181472,0.188237,0.193131,0.173772,0.113384
10,44,1.8424,0.183214,0.192382,0.197683,0.207545,0.217334,0.227135,0.23893,0.249381,0.260013,0.269009,0.24843,0.188233,0.141215,0.0876906
10,50,1.95553,0.181292,0.188021,0.192307,0.20018,0.207555,0.215519,0.223101,0.231326,0.239721,0.248496,0.248518,0.196815,0.138213,0.0948774
25,44,3.46347,0.181856,0.192485,0.199664,0.211695,0.222866,0.233344,0.2415,0.246032,0.24872,0.25554,0.269051,0.249571,0.187834,0.119826
17.5,62,1.06297,0.177293,0.177842,0.177113,0.173837,0.168982,0.161922,0.156459,0.149443,0.142973,0.13615,0.12752,0.101833,0.0769428,0.0612068
40,50,4.05088,0.179256,0.183842,0.183043,0.176493,0.167122,0.157684,0.147995,0.142257,0.137668,0.136563,0.139386,0.14046,0.137087,0.0930691
17.5,44,2.70191,0.182142,0.19201,0.198837,0.211069,0.222586,0.234395,0.24541,0.256666,0.265101,0.275012,0.284063,0.222025,0.165224,0.106152
10,62,1.21722,0.177413,0.178247,0.177576,0.174315,0.169735,0.165068,0.160106,0.155105,0.149981,0.1449,0.139931,0.114539,0.076055,0.0568234
32.5,62,0.535428,0.177323,0.17773,0.177373,0.175851,0.173048,0.171007,0.167303,0.163187,0.160422,0.15563,0.123698,0.0866733,0.0734204,0.0692687
17.5,50,2.90639,0.180422,0.188455,0.192978,0.200974,0.20774,0.215387,0.222114,0.228746,0.233838,0.242035,0.250875,0.218952,0.16242,0.104311
25,56,2.79902,0.177565,0.17889,0.176478,0.16658,0.152628,0.13965,0.126459,0.117141,0.106265,0.100484,0.0999378,0.100265,0.0893398,0.0567038
40,58,0.740664,0.177314,0.177759,0.177124,0.174451,0.170268,0.165855,0.159355,0.153133,0.148783,0.142098,0.126132,0.087595,0.0723308,0.0710602
40,60,0.495768,0.177355,0.177753,0.177367,0.176336,0.173883,0.171762,0.167827,0.165319,0.161221,0.157303,0.125766,0.0930765,0.0810073,0.0760868
25,53,3.43121,0.178265,0.182099,0.182046,0.177559,0.171758,0.165251,0.160491,0.157223,0.157185,0.158909,0.162664,0.164634,0.146605,0.10462
32.5,58,1.43772,0.177241,0.177647,0.175969,0.169784,0.161515,0.152218,0.142939,0.129788,0.117405,0.102197,0.0843658,0.0670248,0.0447392,0.0326911
10,60,1.61979,0.177572,0.178755,0.17803,0.174609,0.170001,0.164796,0.160086,0.156152,0.15281,0.149857,0.147148,0.135348,0.101798,0.0654715
17.5,58,2.29169,0.177481,0.178747,0.176798,0.170171,0.159883,0.150288,0.141421,0.132676,0.125042,0.118582,0.114903,0.114276,0.0925081,0.0577258
40,53,2.82194,0.177744,0.178395,0.174825,0.161926,0.145876,0.127474,0.111737,0.0984628,0.0824005,0.0714072,0.0717739,0.0696825,0.0660761,0.0448446
25,60,1.51502,0.177219,0.177798,0.176167,0.170276,0.161334,0.150818,0.141326,0.129459,0.11679,0.103188,0.0852803,0.0718001,0.0523453,0.0403899
17.5,60,1.73455,0.177352,0.178068,0.17665,0.170426,0.162357,0.15382,0.14493,0.135672,0.125842,0.116095,0.10338,0.0931798,0.0654464,0.0452623
